address,time_in,time_out,lp_tokens_deposited
0x1531b8c20cdbd1463c8935cb32f1935cdb5cc255,1632249874,1632249874,129198050300000000000000
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1632249874,1632249874,129198050300000000000000
0x2dde86634921a42b3c662c1c99cda8301cdfd273,1632250097,1632250097,10194364438713304045862
0xed6f7f3944cde2812405dfc7aef96a3f989b8a1c,1632250646,1632250646,36979426538712992223668
0x31331ec182777b3e3cf127f4709a8aaa8f76e549,1632250726,1632250726,14370999999999999942516
0x70f11dbd21809ebcd4c6604581103506a6a8443a,1632250756,1632250756,4332064472540682763610
0x152ac2bc1821c5c9eca56d1f35d8b0d8b61187f5,1632250791,1632250791,7082582377678080462744
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632251195,1632251195,5000000000000000000000
0x7cbeab8adc6ce442b5640592134af57eef4bb5a5,1632251423,1632251423,10000000000000000000000
0x4a6c660b1ea3f599c785715cba79d0adfcc75521,1632252223,1632252223,1145761197443232052729
0xc6068433585ed0141315122bf17a39b39acae511,1632252313,1632252313,5658166666666666644034
0x9b70cd7e3bae8cb5f30b70475bd82ce779ef0de8,1632253912,1632253912,5401666666666666645060
0x464fb9cdf750bdb0d9ca2a823aa90648606bd27c,1632254534,1632254534,5934833333333333309594
0xa36d8079fec0eb1921731ae6214ba6c267fd9b82,1632255017,1632255017,124423024389530857848630
0x2dde86634921a42b3c662c1c99cda8301cdfd273,1632255389,1632255389,2081771774338089327609
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632255520,1632255520,22780234934496223914426
0x8b7a5b22175614ee194e9e02e9fe0a1b5414c75e,1632255565,1632255565,7101771774338089307529
0x3a4d68994f741be298f802d0ed77948f04190bbc,1632255864,1632255864,3147999999999999987408
0x5ae1bb3c234ce4436133d4c4b6a8665257cc0acb,1632256163,1632256163,19500000000000000000000
0x5ae1bb3c234ce4436133d4c4b6a8665257cc0acb,1632256221,1632256221,20342734934496223846176
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632257945,1632257945,148269444857005575951274
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1632257945,1632257945,148269444857005575951274
0x2dde86634921a42b3c662c1c99cda8301cdfd273,1632258981,1632258981,7183820958804968903402
0x9623a7dfb605f693c9725278cf78bd2f53f0d407,1632260110,1632260110,160988932482477211499200
0xf2870dde3e94663ce8c7aaf242ca20ce07c5d02b,1632260782,1632260782,8269906197701784509080
